address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"101 s capitol blvd ste 1000, boise, idaho, 83702",united states of america,environmental and waste management services,0,us ecology inc,"3,600",doll_988.0 m,1 208 3318400,www.usecology.com
"50 minuteman drive, andover, massachusetts, 01810",united states of america,aerospace and defense,doll_2.7 b,mercury systems inc,"2,386",doll_988.2 m,1 978 2561300,www.mrcy.com
"xiwang industrial park, zouping county, binzhou, shandong , 256209",china,consumer packaged goods,doll_787.4 m,xiwang foodstuffs co ltd,"1,892",doll_985.2 m,86 543 4868888,www.xwsp.cc
"no. 19, hi-tech zhongyi avenue, middle area, hi-tech zone , nanshan dist, shenzhen, guangdong, 518057",china,pharmaceuticals and healthcare,doll_2.7 b,shenzhen hepalink pharmaceutical group co ltd,"2,046",doll_986.9 m,86 755 26980311,www.hepalink.com
"kingsoft tower, no. 33, xiaoying west road, haidian district, beijing, 100085",hong kong,technology and communications,doll_5.0 b,kingsoft corporation ltd,"7,174",doll_987.8 m,852  24050088,www.kingsoft.com
"11 grosvenor place, london, sw1x7hh",united kingdom,metals and mining,0,petropavlovsk plc,"8,860",doll_988.5 m,7 495 3802810,petropavlovskplc.com
"seelistrasse 1, haag, rheintal, 9469",switzerland,industrial goods and machinery,doll_9.5 b,vat group ag,"2,897",doll_986.0 m,41 81 7716161,www.vatvalve.com
"uhlandstrasse 12, darmstadt, 64297",germany,technology and communications,doll_2.1 b,software ag,"5,052",doll_986.0 m,49 6151 920,www.softwareag.com
"no. 3 a1, road 10, shenyang economy & technology, development zone, liaoning , 110027",china,pharmaceuticals and healthcare,doll_2.7 b,3sbio inc,"5,160",doll_989.5 m,86 24 25811820,www.3sbio.com
"2-3-4, daiba, minato-ku, tokyo, 135-8622",japan,construction,doll_821.6 m,nomura co ltd,"1,952",doll_988.9 m,81 3 59621171,www.nomurakougei.co.jp
"no. 7, jalan tasik, mines resort city, seri kembangan, 43300",malaysia,energy and utilities,doll_184.7 m,sapura energy bhd,"3,440",doll_990.0 m,60 3 86598800,www.sapuraenergy.com
"bruggesteenweg 360, gits, hooglede, 8830",belgium,construction,doll_387.8 m,deceuninck nv,"3,709",doll_991.0 m,32 51 239211,www.deceuninck.com
"hott, tietotie 9, vantaa, 01530",finland,transport and logistics,doll_768.6 m,finnair oyj,"5,358",doll_991.4 m,358 6 00081881,company.finnair.com
"peninsula business park, tower-b, 2nd & 3rd floor, g.k.marg, mumbai, 400013",india,consumer packaged goods,doll_909.4 m,alok industries ltd,"26,231",doll_990.0 m,91 22 61787000,www.alokind.com
"linhai economic development zone, taizhou, zhejiang, 317000",china,construction,doll_5.4 b,zhejiang weixing new building materials co ltd,"4,419",doll_990.3 m,86 576 85225086,www.vasen.com
"avenida dos estados unidos da america, 55, lisboa, 1749-061",portugal,power,doll_1.8 b,redes energeticas nacionais sa,697,doll_991.3 m,351 21 0013500,www.ren.pt
"41280 bridge street, 1000 reynolds rd, novi, michigan, 48375",united states of america,automotive,doll_1.0 b,the shyft group inc,"3,800",doll_991.8 m,1 517 5436400,theshyftgroup.com
"280 park ave fl 16th, new york, 10017-1206",united states of america,financial services,doll_3.1 b,pjt partners inc,833,doll_991.9 m,1 212 3647800,pjtpartners.com
"al shoumoukh towers, c ring road, al-sadd, p.o. box 22271, doha",qatar,energy and utilities,doll_5.8 b,qatar gas transport co ltd,12,doll_991.4 m,974  44998111,www.nakilat.com
"gedung world trade center ii, jl. jend. sudirman kav. 29-31, jakarta selatan, 12920",indonesia,financial services,doll_2.4 b,pt bank permata tbk,"7,168",doll_992.8 m,62 21 5237788,www.permatabank.com
"4978 santa anita ave ste 205, temple city, california, 91780-3600",united states of america,medical equipment,doll_975.6 m,fulgent genetics inc,645,doll_992.6 m,1 626 3500537,www.fulgentgenetics.com
"office 201, 4 profiti ilia street, germasogeia, limassol, 4046",cyprus,transport and logistics,doll_799.2 m,globaltrans investment plc,"1,750",doll_993.1 m,357 25 212382,www.globaltrans.com
"c2, 5th floor,hng kng spnrs indstrl bldg, 601-603 tai nan west street, cheung sha wan, kowloon, hong kong",hong kong,construction,doll_121.9 m,asia allied infrastructure holdings ltd,"6,150",doll_993.5 m,852  37985711,www.asiaalliedgroup.com
"125 summer street, boston, massachusetts, 02110",united states of america,medical equipment,doll_4.4 b,haemonetics corp,"2,821",doll_993.2 m,1 781 8487100,www.haemonetics.com
"unit a-f, 35/f, legend tower, 7 shing yip street, kwun tong, hong kong",hong kong,technology and communications,doll_1.7 b,boe varitronix limited,"4,063",doll_995.6 m,852  21976000,www.boevx.com
"1 ebix way, johns creek, georgia, 30097",united states of america,technology and communications,doll_590.6 m,ebix inc,"10,030",doll_994.9 m,1 678 2812020,www.ebix.com
"7-9f, aoba daiichi bldg., 2-3-1, kudan-minami, chiyoda-ku, tokyo, 102-0074",japan,consumer packaged goods,doll_145.1 m,gsi creos corp,624,doll_995.6 m,81 3 52111800,www.gsi.co.jp
"2-17-1, konan, minato-ku, tokyo, 108-0075",japan,technology and communications,doll_2.1 b,information services international-dentsu ltd,"3,240",doll_997.8 m,81 3 67136111,www.isid.co.jp
"one penn square, lancaster, pennsylvania, 17602",united states of america,financial services,doll_2.6 b,fulton financial corp,"3,200",doll_997.2 m,1 717 2912411,www.fultonbank.com/about-fulton-bank
"no.8, li-shing road vii, hsinchu science-based industrial park, 300",taiwan,technology and communications,doll_533.6 m,alpha networks inc,"6,392",doll_998.0 m,886 3 5636666,www.alphanetworks.com
"c-4, district centre, saket, new delhi, 110017",india,construction,doll_709.7 m,ircon international ltd,"1,278",doll_999.5 m,91 11 29565666,www.ircon.org/index.php
"via angelo rizzoli, 8, milano, 20132",italy,media,doll_392.6 m,rcs mediagroup spa,"2,953",doll_1.0 b,39 02 25841,www.rcsmediagroup.it
"amarin tower, 500 ploenchit road, lumphini, pathumwan, bangkok, 10330",thailand,financial services,doll_1.9 b,kiatnakin phatra bank public co ltd,"3,665",doll_1.0 b,66 21 655555,bank.kkpfg.com/th/home
"45, dasansunhwan-ro, namyangju, 12253",south korea,consumer packaged goods,doll_315.3 m,binggrae co ltd,"1,609",doll_1.0 b,82 2 20226000,www.bing.co.kr
"100 saulteaux cres, winnipeg, manitoba, r3j3t3",canada,paper and packaging,doll_2.0 b,winpak ltd,"2,563",doll_1.0 b,1 204 8312244,www.winpak.com
"floor 37-38, q. house lumphini building, 1 south sathon road, thungmahamek, sathon, bangkok, 10120",thailand,construction,doll_3.5 b,land and houses public co ltd,"1,623",doll_1.0 b,66 23 438900,www.lh.co.th
"24th floor, wisma genting, jalan sultan ismail, kuala lumpur, 50250",malaysia,leisure and arts,doll_3.9 b,genting malaysia bhd,"14,048",doll_1.0 b,60 3 21782288,www.gentingmalaysia.com
"4-7-3, kudan minami, chiyoda-ku, tokyo, 102-8277",japan,industrial goods and machinery,doll_769.6 m,nohmi bosai ltd,"2,635",doll_1.0 b,81 3 32650211,www.nohmi.co.jp
"gpo, p.o. box 30161, nairobi, 00100",kenya,consumer packaged goods,doll_1.1 b,east african breweries plc,"1,576",doll_1.0 b,254 20 8644000,www.eabl.com
"building 5, no.58, huasheng road, chenghua district, chengdu, sichuan, 610052",china,chemicals,doll_2.2 b,lier chemical co ltd,"5,360",doll_1.0 b,86 28 67575627,www.lierchem.com
"14 par-la-ville road, park place, hamilton, hm11",bermuda,energy and utilities,0,seadrill ltd,"3,220",doll_1.0 b,1 441 2421500,www.seadrill.com
"33rd floor, great eagle centre, hong kong",hong kong,construction,doll_1.7 b,great eagle holdings ltd,"5,200",doll_1.0 b,852  28273668,www.greateagle.com.hk
"35-14, jeyakgongdan 4-gil, hyangnam-eup, hwaseong, 18623",south korea,pharmaceuticals and healthcare,doll_1.3 b,daewoong pharmaceutical co ltd,"1,256",doll_1.0 b,8225508800,www.daewoong.com
"jl. h.r. rasuna said, kompleks rasuna ep, lantai 12, bakrie tower, jakarta, 12960",indonesia,metals and mining,doll_3.6 b,pt bumi resources tbk,864,doll_1.0 b,62 21 57942080,www.bumiresources.com
"3f,admnstn bldg,all asia broadcast cntr, lebuhraya puchong-sungai besi, technology park malaysia, bukit jalil, kuala lumpur, 57000",malaysia,media,doll_735.5 m,astro malaysia holdings berhad,"4,191",doll_1.0 b,60 3 95436688,corporate.astro.com.my
"haibin second road, rizhao, shandong , 276826",china,transport and logistics,doll_1.3 b,rizhao port co ltd,"5,709",doll_1.0 b,86 633 8388822,www.rzpcl.com
"1, shakespeare sarani (2nd floor), kolkata, 700071",india,construction,doll_912.9 m,birla corp ltd,"7,184",doll_1.0 b,91 33 66033300,www.birlacorporation.com
"crest house, pyrcroft road, chertsey, kt169gn",united kingdom,construction,doll_784.7 m,crest nicholson holdings plc,661,doll_1.0 b,44 1932 580555,www.crestnicholson.com
"11311 concept boulevard, largo, florida, 33773",united states of america,medical equipment,doll_2.9 b,conmed corp,"3,800",doll_1.0 b,1 727 2142974,www.conmed.com
"suite 800, 780 johnson ferry road, atlanta, georgia, 30342",united states of america,retailing,doll_548.8 m,haverty furniture companies inc,"2,845",doll_1.0 b,1 404 4432900,www.havertys.com
"room 401, 4th floor, office tower c, vanton center, no.6 chaowai street, chaoyang district, beijing, 100020",china,consumer packaged goods,doll_74.1 m,dachan food (asia) ltd,"8,071",doll_1.0 b,,www.dachanfoodasia.com/en/aboutus.php
"adolf fredriks kyrkogata 9, stockholm, 10355",sweden,pharmaceuticals and healthcare,0,praktikertjanst ab,"6,700",doll_1.0 b,46 10 1280000,www.praktikertjanst.se
